product_code,product,Jan_sales,Feb_sales,Mar_sales
A2520150506,"AQ Maxima Ms",28248,30329,28597
A2620150601,"AQ Qwerty Ms",30369,27364,31710
A2620150602,"AQ Qwerty Ms",25639,26898,29096
A2620150603,"AQ Qwerty Ms",30064,30551,29771
A2620150604,"AQ Qwerty Ms",30054,28623,31068
A2620150605,"AQ Qwerty Ms",30576,29331,28076
A2620150606,"AQ Qwerty Ms",28893,27908,27853
A2720150701,"AQ Trigger Ms",27275,27301,28069
A2721150702,"AQ Trigger Ms",30110,28130,28119
A2721150703,"AQ Trigger Ms",32208,28664,29705
A2721150704,"AQ Trigger Ms",31698,28039,32328
A2721150705,"AQ Trigger Ms",30619,27607,30034
A2721150706,"AQ Trigger Ms",29526,28007,31112
A2821150801,"AQ Lumina Ms",29371,30654,30843
A2918150101,"AQ Master wired x1",27799,22728,26486
A2918150102,"AQ Master wired x1",25855,23936,24481
A2918150103,"AQ Master wired x1",25129,27487,24826
A2918150104,"AQ Master wired x1",25191,25637,24939
A2918150105,"AQ Master wired x1",22672,24285,24376
A2918150106,"AQ Master wired x1",25775,23821,25710
A3018150201,"AQ Master wireless x1",26662,25598,24519
A3018150202,"AQ Master wireless x1",25110,24577,25686
A3018150203,"AQ Master wireless x1",22997,24844,26797
A3019150204,"AQ Master wireless x1",23982,24734,26136
A3019150205,"AQ Master wireless x1",25533,25983,25628
A3019150206,"AQ Master wireless x1",26362,25680,25618
A3119150301,"AQ Gamers ",24348,23260,26089
A3119150302,"AQ Gamers ",25208,24188,26953
A3119150303,"AQ Gamers ",22515,26587,25777
A3120150304,"AQ Gamers ",23907,21416,26671
A3120150305,"AQ Gamers ",22628,26021,24770
A3120150306,"AQ Gamers ",24527,24556,23782
A3220150401,"AQ Lite",24340,23778,27347
A3220150402,"AQ Lite",26382,24878,24952
A3220150403,"AQ Lite",26465,22227,24299
A3220150404,"AQ Lite",23035,23028,25115
A3220150405,"AQ Lite",23936,23322,24083
A3220150406,"AQ Lite",25197,24669,25716
A3320150501,"AQ Maxima",26069,25022,24018
A3320150502,"AQ Maxima",26171,23788,22772
A3320150503,"AQ Maxima",23694,24428,25806
A3320150504,"AQ Maxima",24150,23421,24967
A3320150505,"AQ Maxima",24901,24737,22845
A3320150506,"AQ Maxima",22953,22503,25362
A3420150601,"AQ Qwerty",24941,25089,25861
A3420150602,"AQ Qwerty",27724,23587,24938
A3421150603,"AQ Qwerty",25329,25888,27542
A3421150604,"AQ Qwerty",26515,25476,24828
A3421150605,"AQ Qwerty",25529,23426,24182
A3421150606,"AQ Qwerty",27087,23592,23254
A3521150701,"AQ Trigger",26774,22541,26949
A3521150702,"AQ Trigger",23508,24095,27554
A3521150703,"AQ Trigger",25816,22933,24285
A3521150704,"AQ Trigger",25822,25048,25960
A3521150705,"AQ Trigger",25858,23210,26096
A3718150101,"AQ LION x1",2392,2293,2486
A3718150102,"AQ LION x1",2405,2303,2426
A3718150103,"AQ LION x1",2463,2533,2354
A3718150105,"AQ LION x1",2578,2510,2773
A3818150201,"AQ LION x2",2414,2628,2224
A3818150202,"AQ LION x2",2697,2698,2406
A3819150203,"AQ LION x2",2526,2466,2435
A3819150204,"AQ LION x2",2588,2303,2615
A3819150205,"AQ LION x2",2585,2431,2567
A3920150301,"AQ LION x3",2562,2507,2474
A3920150302,"AQ LION x3",2484,2389,2449
A3920150303,"AQ LION x3",2573,2265,2701
A3920150304,"AQ LION x3",2506,2282,2585
A3920150305,"AQ LION x3",2632,2400,2615
A4020150401,"AQ Mx NB",2332,2197,2460
A4020150402,"AQ Mx NB",2706,2547,2463
A4021150403,"AQ Mx NB",2608,2264,2447
A4021150404,"AQ Mx NB",2588,2239,2782
A4021150405,"AQ Mx NB",2615,2656,2574
A4118110105,"AQ Aspiron",1164,1189,1257
A4118110106,"AQ Aspiron",1277,1322,1233
A4118110107,"AQ Aspiron",1228,1122,1283
A4218110201,"AQ Digit",1233,1113,1231
A4218110202,"AQ Digit",1244,1263,1252
A4218110203,"AQ Digit",1175,1331,1217
A4218110204,"AQ Digit",1151,1190,1231
A4218110205,"AQ Digit",1298,1209,1264
A4218110206,"AQ Digit",1210,1095,1243
A4218110207,"AQ Digit",1127,1101,1246
A4218110208,"AQ Digit",1254,1140,1312
A4318110301,"AQ Velocity",1210,1159,1319
A4319110302,"AQ Velocity",1250,1279,1199
A4319110303,"AQ Velocity",1186,1160,1218
A4319110304,"AQ Velocity",1252,1222,1210
A4319110305,"AQ Velocity",1200,1165,1242
A4319110306,"AQ Velocity",1285,1266,1213
A4419110401,"AQ Elite",1372,1181,1275
A4419110402,"AQ Elite",1239,1224,1148
A4419110403,"AQ Elite",1120,1144,1141
A4419110404,"AQ Elite",1196,1221,1305
A4419110405,"AQ Elite",1222,1307,1264
A4419110406,"AQ Elite",1194,1181,1257
A4419110407,"AQ Elite",1226,1214,1262
A4419110408,"AQ Elite",1357,1131,1307
A4519110501,"AQ Gen X",1241,1282,1206
A4519110502,"AQ Gen X",1241,1055,1335
A4519110503,"AQ Gen X",1140,1237,1249
A4520110504,"AQ Gen X",1267,1176,1199
A4520110505,"AQ Gen X",1195,1220,1099
A4520110506,"AQ Gen X",1299,1199,1284
A4520110507,"AQ Gen X",1199,1232,1195
A4520110508,"AQ Gen X",1198,1293,1303
A4620110601,"AQ Gen Y",1251,1164,1241
A4620110602,"AQ Gen Y",1324,1186,1166
A4620110603,"AQ Gen Y",1224,1159,1317
A4620110604,"AQ Gen Y",1236,1222,1162
A4620110605,"AQ Gen Y",1228,1177,1207
A4620110606,"AQ Gen Y",1169,1145,1285
A4620110607,"AQ Gen Y",1204,1164,1275
A4620110608,"AQ Gen Y",1244,1152,1343
A4720110701,"AQ GEN Z",1236,1177,1086
A4720110702,"AQ GEN Z",1302,1172,1204
A4721110703,"AQ GEN Z",1276,1257,1273
A4721110704,"AQ GEN Z",1235,1205,1313
A4721110705,"AQ GEN Z",1169,1137,1170
A4918110101,"AQ BZ 101",922,826,850
A4918110102,"AQ BZ 101",837,813,893
A4918110103,"AQ BZ 101",873,830,848
A4918110104,"AQ BZ 101",913,783,901
A5018110201,"AQ BZ Compact",830,858,924
A5018110202,"AQ BZ Compact",821,900,879
A5018110203,"AQ BZ Compact",890,862,854
A5018110204,"AQ BZ Compact",893,822,936
A5018110205,"AQ BZ Compact",880,895,903
A5018110206,"AQ BZ Compact",910,913,865
A5018110207,"AQ BZ Compact",913,886,824
A5019110208,"AQ BZ Compact",845,768,878
A5119110301,"AQ BZ Gen Y",830,782,850
A5119110302,"AQ BZ Gen Y",906,853,836
A5119110303,"AQ BZ Gen Y",898,835,927
A5119110305,"AQ BZ Gen Y",881,861,821
A5119110306,"AQ BZ Gen Y",824,824,817
A5119110307,"AQ BZ Gen Y",888,849,845
A5119110308,"AQ BZ Gen Y",894,856,955
A5219110401,"AQ BZ Gen Z",843,812,865
A5219110402,"AQ BZ Gen Z",938,854,862
A5219110403,"AQ BZ Gen Z",826,885,820
A5219110405,"AQ BZ Gen Z",869,877,796
A5219110406,"AQ BZ Gen Z",902,832,860
A5219110407,"AQ BZ Gen Z",816,816,962
A5220110408,"AQ BZ Gen Z",903,818,884
A5318110103,"AQ Gamer 1",502,515,500
A5318110104,"AQ Gamer 1",535,470,489
A5318110105,"AQ Gamer 1",553,522,516
A5318110106,"AQ Gamer 1",560,504,509
A5318110107,"AQ Gamer 1",517,505,511
A5318110108,"AQ Gamer 1",545,477,508
A5419110201,"AQ Gamer 2",492,461,501
A5419110202,"AQ Gamer 2",526,525,556
A5419110203,"AQ Gamer 2",490,500,524
A5419110204,"AQ Gamer 2",510,467,518
A5419110205,"AQ Gamer 2",475,507,577
A5419110206,"AQ Gamer 2",511,527,524
A5419110207,"AQ Gamer 2",492,544,568
A5419110208,"AQ Gamer 2",477,516,527
A5519110301,"AQ Gamer 3",533,513,508
A5519110302,"AQ Gamer 3",531,498,534
A5519110303,"AQ Gamer 3",546,536,538
A5519110304,"AQ Gamer 3",551,471,492
A5520110305,"AQ Gamer 3",493,482,514
A5520110306,"AQ Gamer 3",470,504,544
A5520110307,"AQ Gamer 3",521,504,526
A5520110308,"AQ Gamer 3",546,478,588
A5620110401,"AQ Smash 1",547,551,483
A5620110402,"AQ Smash 1",518,519,501
A5621110403,"AQ Smash 1",547,482,567
A5621110404,"AQ Smash 1",546,528,556
A5621110405,"AQ Smash 1",514,529,516
A5621110406,"AQ Smash 1",523,530,540
A5621110407,"AQ Smash 1",535,496,560
A5621110408,"AQ Smash 1",562,530,497
A5721110501,"AQ Smash 2",528,517,558
A5721110502,"AQ Smash 2",522,501,505
A5721110503,"AQ Smash 2",501,516,526
A5721110504,"AQ Smash 2",490,531,494
A5721110505,"AQ Smash 2",509,574,530
A5721110506,"AQ Smash 2",551,534,522
A5820110101,"AQ BZ Allin1",906,782,831
A5820110102,"AQ BZ Allin1",875,857,963
A5820110103,"AQ BZ Allin1",784,776,907
A5820110104,"AQ BZ Allin1",879,876,880
A5820110105,"AQ BZ Allin1",802,834,825
A5820110106,"AQ BZ Allin1",882,890,892
A5820110107,"AQ BZ Allin1",850,815,935
A5821110108,"AQ BZ Allin1",844,852,955
A6018110101,"AQ Home Allin1",167,145,163
A6018110102,"AQ Home Allin1",158,157,151
A6018110103,"AQ Home Allin1",176,150,174
A6018110104,"AQ Home Allin1",166,156,162
A6018110105,"AQ Home Allin1",165,164,164
A6018110106,"AQ Home Allin1",181,163,164
A6019110107,"AQ Home Allin1",161,163,162
A6019110108,"AQ Home Allin1",166,155,179
A6119110201,"AQ HOME Allin1 Gen 2",171,161,174
A6119110202,"AQ HOME Allin1 Gen 2",168,157,166
A6119110203,"AQ HOME Allin1 Gen 2",184,157,182
A6119110204,"AQ HOME Allin1 Gen 2",165,159,166
A6120110205,"AQ HOME Allin1 Gen 2",171,159,174
A6120110206,"AQ HOME Allin1 Gen 2",164,169,160
A6218160101,"AQ Digit SSD",29970,30451,30143
A6218160102,"AQ Digit SSD",30866,30660,31262
A6219160103,"AQ Digit SSD",29045,27852,32872
A6319160201,"AQ Neuer SSD",27656,29244,31197
A6319160202,"AQ Neuer SSD",26922,26364,30966
A6319160203,"AQ Neuer SSD",28604,28099,29253
A6419160301,"AQ Clx1",29935,30948,28517
A6419160302,"AQ Clx1",30682,28892,33152
A6419160303,"AQ Clx1",29153,31566,28215
A6519160401,"AQ Clx2",27947,26146,29209
A6520160402,"AQ Clx2",29374,27301,30982
A6520160403,"AQ Clx2",28693,25111,30625
A6620160501,"AQ Clx3",31113,27458,28626
A6720160103,"AQ Pen Drive 2 IN 1",53519,48631,51296
A6818160201,"AQ Pen Drive DRC",49933,47739,55659
A6818160202,"AQ Pen Drive DRC",45657,48962,47383
A6819160203,"AQ Pen Drive DRC",47831,48531,47583
A7118160101,"AQ Wi Power Dx1",18070,19072,20747
A7119160102,"AQ Wi Power Dx1",21762,18070,19887
A7119160103,"AQ Wi Power Dx1",19592,18915,20880
A7219160201,"AQ Wi Power Dx2",22336,19039,19338
A7220160202,"AQ Wi Power Dx2",21178,20034,20283
A7220160203,"AQ Wi Power Dx2",20032,19969,20665
A7321160301,"AQ Wi Power Dx3",21187,20348,21832
A7321160302,"AQ Wi Power Dx3",22025,22276,22718
A7321160303,"AQ Wi Power Dx3",18767,20949,20545
