product_code,annual_revenue
A0821150501,486.0156
A2020150501,484.5012
A7220160203,483.8016
A3621150806,483.5268
A0620150304,473.1432
A0621150308,472.7880
A2020150502,472.7184
A0721150401,472.0524
A7220160202,471.8796
A0721150403,471.5880
A0721150402,469.7580
A0721150404,469.4580
A1920150404,467.7360
A3621150801,464.2668
A0621150307,464.1384
A0721150402,464.1228
A0621150308,457.0860
A0620150305,455.6244
A7220160203,454.9932
A0620150303,453.9732
A0620150304,450.9912
A0620150306,450.3336
A7220160203,449.7408
A0620150306,448.5552
A3621150805,445.2576
A1819150303,440.4216
A0620150305,438.8148
A3621150804,438.6888
A1919150402,437.6112
A1919150403,436.8360
A0721150401,435.8232
A0621150307,435.0180
A0621150307,434.9208
A1819150304,434.8992
A3521150706,432.4164
A1919150403,430.0200
A3621150802,428.8044
A7220160202,424.4496
A7220160202,422.4636
A7219160201,421.6944
A0620150306,421.5984
A1919150401,420.5316
A1919150402,420.3072
A0519150207,418.4376
A3521150703,417.5376
A0519150208,416.7864
A0619150302,414.7212
A3521150705,414.1368
A1819150302,412.9908
A3521150704,411.2208
A0620150303,410.8944
A3521150705,410.2080
A0619150302,409.1676
A0519150206,406.1580
A1919150401,405.1308
A0619150301,404.9292
A3521150704,403.4952
A0620150303,402.7620
A0620150305,401.9856
A0620150304,399.3852
A7219160201,395.4900
A3521150701,391.1940
A0519150207,389.3124
A1819150304,387.1344
A4021150404,386.9088
A1819150301,386.4480
A1819150303,386.3088
A1819150302,383.4300
A3421150606,381.3564
A3521150703,381.1980
A4021150405,380.4348
A0619150302,379.4664
A0519150205,378.5352
A4021150405,377.8668
A0519150206,374.9268
A3421150605,374.5812
A3521150702,372.8016
A1819150304,369.2172
A1819150303,368.8644
A0519150208,366.9792
A0619150301,365.6352
A3521150702,364.0968
A0321150303,363.6720
A4021150403,361.9680
A4021150403,359.3076
A7119160102,359.1168
A3421150605,358.4304
A1718150204,358.0188
A0519150208,357.0300
A0519150205,356.4096
A7118160101,356.0544
A3421150606,356.0508
A4020150401,355.4148
A1819150302,355.1892
A0321150302,354.0900
A4020150402,353.2044
A3521150701,352.6464
A0619150301,352.4592
A3421150604,351.0804
A7119160103,350.1180
A1718150203,348.2736
A7119160102,346.6632
A3920150305,346.5300
A1819150301,346.3380
A7119160103,345.2832
A4021150404,342.9600
A4020150402,341.4000
A7219160201,340.9680
A1718150204,340.7892
A0519150204,338.4660
A1819150301,337.0284
A1718150204,336.7476
A0321150303,336.0708
A0519150207,329.4756
A3920150305,329.4552
A3421150604,328.9824
A1718150203,328.1340
A0519150205,326.6412
A0321150302,325.2324
A0519150208,323.6100
A3421150603,323.4084
A4020150401,323.1624
A3420150601,321.2292
A0519150207,320.5656
A3420150602,320.0664
A0519150203,319.0452
A0519150206,317.7528
A7118160101,313.8000
A0519150204,313.2972
A2821150806,311.5404
A7118160101,311.2248
A3421150603,309.8568
A0320150301,309.8028
A3920150303,309.6648
A0220150203,309.3672
A3920150305,308.5440
A6621160503,308.0604
A3920150303,305.6040
A3920150304,303.5076
A1718150203,303.0624
A0219150202,301.8204
A4020150401,300.9780
A3920150304,300.5304
A0219150201,300.3432
A7219160201,300.1548
A2821150805,299.7336
A1718150201,299.4456
A0519150202,299.1576
A0519150205,298.6872
A7119160103,297.6900
A0519150204,297.3876
A4020150402,296.9796
A0219150202,296.7744
A1718150204,296.1672
A3320150506,295.2144
A3420150601,294.8280
A1718150203,293.5680
A2821150804,291.8700
A0519150203,291.7524
A1718150202,291.6816
A3920150302,290.2608
A0519150202,289.9896
A0219150202,289.8744
A0118150103,287.9040
A3420150602,287.6712
A0220150203,287.0316
A6620160502,286.7208
A0519150204,286.1904
A3819150205,285.2328
A3320150506,285.2136
A0320150301,284.6676
A0219150201,284.3844
A7119160102,283.6848
A0118150104,283.5576
A0220150203,283.3848
A3320150505,282.9564
A3920150301,281.5116
A7118160101,281.0508
A2821150802,280.5648
A1718150202,279.3612
A2821150803,278.5572
A3920150302,277.8240
A3320150505,277.0128
A3920150303,276.3576
A0519150206,276.2424
A0118150104,275.6748
A3320150503,275.1996
A1718150202,274.7484
A1618150104,274.4448
A6620160501,274.3512
A6620160501,274.2360
A6520160403,272.2368
A3320150504,271.7316
A1819150301,271.1304
A2721150706,270.8976
A0519150201,268.7808
A3920150302,268.7376
A0519150203,267.4992
A0320150301,267.4272
A3320150502,266.9088
A0219150201,266.7576
A3920150301,265.7448
A3320150504,265.6092
A0118150103,265.5804
A1718150201,265.4892
A2821150801,265.0776
A1718150202,264.8412
A0519150201,263.7324
A1718150201,262.6548
A1718150201,261.8568
A0118150103,261.3540
A2821150801,260.5416
A3320150502,260.3856
A3819150205,259.2792
A1618150104,257.8020
A0118150102,257.4780
A1618150104,257.3868
A6419160302,256.7940
A3220150404,256.7184
A6520160403,255.3960
A3220150405,254.7960
A3220150402,254.7936
A3220150406,254.5824
A1618150103,254.4204
A0519150202,254.3436
A3819150204,254.3304
A3320150504,253.6692
A0418150103,253.0956
A6520160402,252.7500
A6519160401,251.6196
A3320150502,251.4552
A3320150501,251.2176
A3320150503,250.4796
A2721150705,250.2444
A0219150202,249.8676
A0418150107,249.7956
A0118150104,249.2808
A3920150301,249.0156
A6419160303,248.1612
A1618150104,247.9740
A0418150106,247.7412
A1618150102,245.5548
A3819150203,245.5224
A3320150501,244.6896
A0418150105,244.1604
A6519160401,243.4668
A6319160203,243.1080
A6520160402,241.9800
A2721150704,241.6092
A0418150105,240.9192
A3220150403,240.7404
A2721150706,240.6444
A3220150406,240.0792
A0418150106,239.2380
A0418150104,239.0868
A1618150103,238.9488
A0118150102,238.2924
A1718150201,238.1688
A0418150104,236.8308
A6319160202,236.4084
A6419160302,236.0676
A1618150101,235.7820
A3819150205,235.4640
A0118150102,235.0500
A2721150704,235.0320
A3220150402,234.9084
A0118150104,234.8916
A0418150103,234.2820
A3220150406,233.7648
A2721150705,232.8504
A0118150103,232.3560
A0118150103,232.1304
A6319160203,232.1196
A6419160303,232.0104
A3120150306,231.6036
A6419160301,230.9580
A0418150108,230.3568
A1618150103,230.2344
A0118150101,228.6876
A0418150104,228.5808
A3220150401,227.9352
A3220150405,227.2980
A3819150204,226.5888
A6319160201,226.4712
A3320150503,226.3512
A3220150402,225.5364
A6519160401,224.6052
A3220150403,224.0712
A0418150104,223.7484
A0418150108,223.3056
A6419160301,223.2948
A1618150103,223.1052
A3220150403,223.0128
A6319160202,222.8796
A0118150102,222.7140
A0418150105,222.7104
A1618150101,222.4512
A3818150202,222.3972
A0118150104,222.0864
A3220150401,221.9316
A0219150201,221.5956
A3819150203,221.4396
A3220150404,221.0628
A6419160303,219.9384
A3220150404,219.0156
A0519150201,218.6964
A3320150501,218.1480
A3819150205,217.8288
A3120150306,217.7136
A3220150405,217.6812
A3818150201,217.3092
A2620150606,216.8052
A3819150204,216.7008
A3718150105,216.3744
A3718150103,215.0364
A1618150102,214.2804
A0418150103,214.1388
A2620150605,213.7056
A6419160301,213.6516
A6319160203,213.1704
A2720150701,212.4624
A0418150106,212.4264
A2721150703,212.3952
A3718150105,211.1040
A3718150102,211.0752
A3718150103,210.8364
A3718150101,210.7056
A3818150202,210.2364
A0418150104,210.0324
A0418150101,209.6496
A2721150702,209.3616
A0418150103,209.3232
A6419160302,208.8504
A1618150101,208.6068
A6319160201,208.3080
A6219160103,207.8028
A2620150604,207.6264
A3818150201,207.1776
A0418150105,206.9724
A2721150702,206.8416
A3120150304,206.5356
A3818150202,206.3184
A2720150701,205.1004
A3819150203,204.7776
A0418150102,204.5064
A2520150506,204.4068
A3718150105,203.4264
A2721150703,203.2236
A3120150305,202.7856
A6319160202,202.6860
A0418150107,202.3320
A2620150606,201.4200
A6319160203,200.9136
A3718150104,200.0556
A3120150306,200.0256
A3718150102,199.9044
A3119150303,199.8924
A0418150102,199.5372
A2620150605,199.0584
A3818150202,198.9936
A2620150604,198.5892
A0418150105,198.3096
A3718150101,198.1524
A6319160201,197.9856
A6319160202,197.9148
A3220150401,196.6032
A3120150304,196.5504
A1618150102,196.0104
A3120150305,195.8616
A3818150202,195.7020
A6219160103,195.6036
A0418150106,195.3828
A3119150303,194.8884
A3718150104,194.8752
A0118150101,194.7876
A1618150102,194.6760
A3718150103,194.4324
A3120150305,193.3932
A3718150102,193.2180
A3220150402,193.1772
A3818150201,192.6612
A0418150102,191.8560
A2620150603,191.7504
A0418150103,191.2140
A0418150101,190.5036
A2620150602,189.7224
A2620150603,188.3544
A3119150302,187.8936
A6219160103,186.4464
A3718150103,186.3348
A3718150102,186.2592
A3718150101,185.6148
A0118150101,184.7424
A3120150306,184.6848
A2620150602,183.8376
A3119150302,183.6852
A2520150504,183.6180
A2520150505,183.0312
A2520150503,182.9796
A6218160102,182.9772
A3718150102,182.3580
A2520150505,182.1144
A3718150105,180.9252
A3220150401,180.2472
A3819150203,179.9268
A1618150101,179.8596
A2620150601,178.8156
A3119150303,178.5780
A3718150103,178.4856
A3718150101,178.0476
A3120150305,177.1488
A2620150601,176.3568
A2520150506,174.8124
A6319160201,174.6840
A2520150502,174.3204
A0118150101,173.2704
A6218160102,173.1432
A6218160102,172.1148
A3019150206,171.6780
A3119150301,171.4332
A2520150504,171.3600
A3818150201,171.0360
A2520150503,170.0184
A3718150105,169.9392
A3120150304,168.7692
A0418150101,168.6660
A3119150302,168.6456
A2520150502,168.3396
A3718150104,167.8332
A3818150201,165.7992
A6218160102,165.4656
A6218160101,164.4132
A6218160101,163.1292
A3718150101,163.0032
A3119150301,162.0732
A6219160103,160.3056
A2420150406,159.1464
A6218160101,158.4108
A3019150206,156.0216
A2419150405,155.8848
A3119150301,155.2260
A3019150206,154.5828
A3018150203,154.0356
A3019150204,153.9600
A2419150405,152.9076
A2419150404,151.0548
A3120150304,151.0092
A3018150202,149.8056
A2520150501,148.8672
A3018150203,148.4868
A2420150406,147.5748
A3019150206,147.5592
A3119150301,147.0288
A3019150205,146.8008
A6218160101,146.3064
A2520150501,144.8268
A3019150205,144.6108
A2419150405,143.3172
A3119150303,142.9896
A3018150203,141.8580
A2319150305,140.4384
A2419150403,140.3256
A3019150206,140.1276
A2419150404,139.5984
A2419150402,139.2468
A3019150204,139.2132
A3018150201,138.4080
A2419150401,137.7948
A3019150205,137.2368
A2420150406,137.1684
A2419150401,137.0856
A3018150203,137.0292
A3119150302,136.7028
A3018150203,136.5372
A2419150402,135.3828
A2419150404,134.5404
A2918150106,134.0736
A3018150202,132.6288
A3019150204,131.6976
A2419150403,130.7100
A2319150306,130.3908
A2319150304,130.3092
A3018150201,129.5460
A3018150202,129.0576
A2419150403,128.1156
A2319150306,127.4004
A3019150204,126.6816
A2319150306,125.9064
A2319150304,125.4876
A2319150305,125.2440
A2918150106,125.0256
A2419150402,124.9404
A3019150205,124.9368
A2918150104,123.6024
A3018150201,123.4884
A3019150205,122.5140
A3018150201,121.5816
A2319150303,120.9384
A2319150304,120.9024
A3018150201,120.7548
A2419150401,120.6168
A3018150202,119.4552
A3019150204,118.6152
A2918150105,117.6852
A2918150106,117.1812
A2319150305,116.8356
A2918150106,114.1116
A2918150105,113.5800
A2319150303,112.7724
A2319150301,111.6792
A2918150104,110.6064
A2319150303,110.2704
A2319150304,109.3500
A2918150105,108.2472
A2319150302,107.8812
A2319150302,107.4504
A2918150104,107.4168
A2319150301,105.6528
A2918150104,105.4920
A2319150305,104.7072
A2918150106,103.7148
A2319150301,103.6872
A2219150205,103.5168
A2918150105,102.6480
A3018150202,102.2292
A2219150206,99.8316
A2319150303,99.1668
A2219150206,98.3628
A2219150206,97.5720
A2918150104,96.4068
A2219150205,95.7756
A2918150105,95.5212
A2219150204,95.4576
A2319150302,94.9020
A2918150103,93.2316
A2918150102,92.6196
A2918150102,91.1748
A2918150103,89.3364
A2219150204,89.2140
A2219150206,88.7892
A2219150204,88.2312
A2219150203,87.5316
A2918150102,87.5232
A2918150103,87.2328
A2319150301,86.2848
A2319150302,84.8004
A2219150204,84.3216
A2918150101,82.7892
A2219150205,82.7148
A2219150203,82.2720
A2219150203,81.7092
A2219150203,80.7612
A2918150103,80.1624
A2918150101,79.4964
A2918150102,78.4428
A2218150202,76.8648
A2219150205,75.4332
A2218150202,72.9840
A2219150203,72.9204
A2918150101,71.4756
A2218150201,71.0760
A2218150202,70.4820
A2218150202,66.0648
A2218150202,65.4708
A2218150201,65.2596
A6819160203,63.4476
A2218150201,63.3852
A2118150106,63.2100
A2118150106,63.1848
A2118150106,63.1272
A2118150106,63.0504
A2118150104,62.1120
A2118150105,61.2288
A6819160203,61.1808
A2918150101,61.1112
A2118150104,60.5508
A2118150105,58.0572
A2218150201,57.9804
A6720160103,56.9028
A2118150105,56.2848
A2118150103,55.6836
A2118150104,55.5564
A2218150201,55.0008
A2118150105,54.5712
A2118150103,54.3540
A2118150106,53.4612
A6720160103,53.2932
A6720160103,52.5984
A2118150103,51.7008
A2118150104,51.3564
A2118150105,48.7512
A6818160202,48.1188
A2118150103,48.1020
A2118150102,47.9976
A2118150104,47.3580
A6818160202,46.2372
A2118150103,45.9744
A2118150102,42.1404
A2118150102,41.5764
A6818160201,40.5192
A2118150102,38.9388
A6818160201,35.9880
A6818160201,35.6292
A2118150101,35.3208
A2118150101,35.1552
A2118150101,35.0016
A2118150101,34.1340
